"","Feature1","Feature2","Correlation"
"12914","TCGA-02-0058-01A-01R-0177-01","TCGA-02-0058-01A-01R-0177-01",1
"94694","TCGA-02-0058-01A-01R-0177-01","TCGA-02-0033-01A-01R-0177-01",0.898277770583231
"50846","TCGA-02-0058-01A-01R-0177-01","TCGA-02-0046-01A-01R-0177-01",0.894691457413993
"13263","TCGA-02-0021-01A-01R-0177-01","TCGA-02-0021-01A-01R-0177-01",1
"9087","TCGA-02-0021-01A-01R-0177-01","TCGA-02-0116-01A-01R-0202-01",0.882660543064468
"9435","TCGA-02-0021-01A-01R-0177-01","TCGA-02-0024-01B-01R-0177-01",0.876876542625387
"13612","TCGA-27-2523-01A-01R-0789-01","TCGA-27-2523-01A-01R-0789-01",1
"81472","TCGA-27-2523-01A-01R-0789-01","TCGA-12-3650-01A-01R-0916-01",0.965905259468255
"91912","TCGA-27-2523-01A-01R-0789-01","TCGA-27-1837-01A-01R-0789-01",0.96433978742347
"13961","TCGA-02-0080-01A-01R-0202-01","TCGA-02-0080-01A-01R-0202-01",1
"44237","TCGA-02-0080-01A-01R-0202-01","TCGA-12-0818-01A-01R-0389-01",0.959801299079847
"17441","TCGA-02-0080-01A-01R-0202-01","TCGA-14-1456-01C-01R-0789-01",0.958014903558115
"14310","TCGA-02-0007-01A-01R-0177-01","TCGA-02-0007-01A-01R-0177-01",1
"95046","TCGA-02-0007-01A-01R-0177-01","TCGA-02-0038-01A-01R-0177-01",0.8844373181678
"78690","TCGA-02-0007-01A-01R-0177-01","TCGA-02-0047-01A-01R-0177-01",0.877797617230716
"14659","TCGA-32-2616-01A-01R-0916-01","TCGA-32-2616-01A-01R-0916-01",1
"104791","TCGA-32-2616-01A-01R-0916-01","TCGA-06-5858-01A-01R-1698-01",0.953738564271319
"55375","TCGA-32-2616-01A-01R-0916-01","TCGA-06-2564-01A-01R-0789-01",0.949165700504246
"15008","TCGA-16-1460-01A-01R-0596-01","TCGA-16-1460-01A-01R-0596-01",1
"17444","TCGA-16-1460-01A-01R-0596-01","TCGA-14-1456-01C-01R-0789-01",0.949494478951096
"57464","TCGA-16-1460-01A-01R-0596-01","TCGA-06-1805-01A-01R-0596-01",0.948099319925582
